year,month,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2015,04,SDE,USA-DE,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SDE_2,Delaware Natural Gas Vehicle Fuel Consumption (MMcf),0.0,MMCF
2015,04,SNC,USA-NC,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SNC_2,North Carolina Natural Gas Vehicle Fuel Consumption (MMcf),12.0,MMCF
2015,04,SFL,FLORIDA,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SFL_2,Florida Natural Gas Vehicle Fuel Consumption (MMcf),28.0,MMCF
2015,04,SME,USA-ME,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SME_2,Maine Natural Gas Vehicle Fuel Consumption (MMcf),0.0,MMCF
2015,04,STX,TEXAS,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_STX_2,Texas Natural Gas Vehicle Fuel Consumption (MMcf),361.0,MMCF
2015,04,SIN,USA-IN,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SIN_2,Indiana Natural Gas Vehicle Fuel Consumption (MMcf),8.0,MMCF
2015,04,SNY,NEW YORK,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SNY_2,New York Natural Gas Vehicle Fuel Consumption (MMcf),278.0,MMCF
2015,04,SNV,USA-NV,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SNV_2,Nevada Natural Gas Vehicle Fuel Consumption (MMcf),92.0,MMCF
2015,04,SWA,WASHINGTON,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SWA_2,Washington Natural Gas Vehicle Fuel Consumption (MMcf),37.0,MMCF
2015,04,SVT,USA-VT,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045VT2,Vermont Natural Gas Deliveries to Electric Power Consumers (MMcf),0.0,MMCF
2015,04,SMN,MINNESOTA,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045MN2,Minnesota Natural Gas Deliveries to Electric Power Consumers (MMcf),4348.0,MMCF
2015,04,SND,USA-ND,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060ND2,Natural Gas Delivered to Consumers in North Dakota (Including Vehicle Fuel) (MMcf),5012.0,MMCF
2015,04,SKY,USA-KY,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060KY2,Natural Gas Delivered to Consumers in Kentucky (Including Vehicle Fuel) (MMcf),17071.0,MMCF
2015,04,SCA,CALIFORNIA,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060CA2,Natural Gas Delivered to Consumers in California (Including Vehicle Fuel) (MMcf),164979.0,MMCF
2015,04,SIA,USA-IA,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060IA2,Natural Gas Delivered to Consumers in Iowa (Including Vehicle Fuel) (MMcf),21863.0,MMCF
2015,04,SPA,USA-PA,EPG0,Natural Gas,VGT,Delivered to Consumers,N3060PA2,Natural Gas Delivered to Consumers in Pennsylvania (Including Vehicle Fuel) (MMcf),76893.0,MMCF
2015,04,SPA,USA-PA,EPG0,Natural Gas,VIN,Industrial Consumption,N3035PA2,Pennsylvania Natural Gas Industrial Consumption (MMcf),17645.0,MMCF
2015,04,SMD,USA-MD,EPG0,Natural Gas,VIN,Industrial Consumption,N3035MD2,Maryland Natural Gas Industrial Consumption (MMcf),1135.0,MMCF
2015,04,SOR,USA-OR,EPG0,Natural Gas,VIN,Industrial Consumption,N3035OR2,Oregon Natural Gas Industrial Consumption (MMcf),4671.0,MMCF
2015,04,SSC,USA-SC,EPG0,Natural Gas,VIN,Industrial Consumption,N3035SC2,South Carolina Natural Gas Industrial Consumption (MMcf),7121.0,MMCF
2015,04,SIN,USA-IN,EPG0,Natural Gas,VIN,Industrial Consumption,N3035IN2,Indiana Natural Gas Industrial Consumption (MMcf),29054.0,MMCF
2015,04,SCA,CALIFORNIA,EPG0,Natural Gas,VIN,Industrial Consumption,N3035CA2,California Natural Gas Industrial Consumption (MMcf),63109.0,MMCF
2015,04,SMN,MINNESOTA,EPG0,Natural Gas,VIN,Industrial Consumption,N3035MN2,Minnesota Natural Gas Industrial Consumption (MMcf),13355.0,MMCF
2015,04,SNY,NEW YORK,EPG0,Natural Gas,VIN,Industrial Consumption,N3035NY2,New York Natural Gas Industrial Consumption (MMcf),7332.0,MMCF
2015,04,SOH,OHIO,EPG0,Natural Gas,VRS,Residential Consumption,N3010OH2,Ohio Natural Gas Residential Consumption (MMcf),22267.0,MMCF
2015,04,SMN,MINNESOTA,EPG0,Natural Gas,VRS,Residential Consumption,N3010MN2,Minnesota Natural Gas Residential Consumption (MMcf),8178.0,MMCF
2015,04,SDE,USA-DE,EPG0,Natural Gas,VRS,Residential Consumption,N3010DE2,Delaware Natural Gas Residential Consumption (MMcf),754.0,MMCF
2015,04,SNY,NEW YORK,EPG0,Natural Gas,VRS,Residential Consumption,N3010NY2,New York Natural Gas Residential Consumption (MMcf),36470.0,MMCF
2015,04,SAR,USA-AR,EPG0,Natural Gas,VRS,Residential Consumption,N3010AR2,Arkansas Natural Gas Residential Consumption (MMcf),1634.0,MMCF
2015,04,SAL,USA-AL,EPG0,Natural Gas,VCS,Commercial Consumption,N3020AL2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Alabama (MMcf),1446.0,MMCF
2015,04,SDE,USA-DE,EPG0,Natural Gas,VCS,Commercial Consumption,N3020DE2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Delaware (MMcf),770.0,MMCF
2015,04,SAZ,USA-AZ,EPG0,Natural Gas,VCS,Commercial Consumption,N3020AZ2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Arizona (MMcf),2422.0,MMCF
2015,04,SNY,NEW YORK,EPG0,Natural Gas,VCS,Commercial Consumption,N3020NY2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in New York (MMcf),22349.0,MMCF
2015,04,SMO,USA-MO,EPG0,Natural Gas,VCS,Commercial Consumption,N3020MO2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Missouri (MMcf),4330.0,MMCF
2015,04,SDC,USA-DC,EPG0,Natural Gas,VCS,Commercial Consumption,N3020DC2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in the District of Columbia (MMcf),1010.0,MMCF
2015,04,SID,USA-ID,EPG0,Natural Gas,VCS,Commercial Consumption,N3020ID2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Idaho (MMcf),1235.0,MMCF
2015,04,STX,TEXAS,EPG0,Natural Gas,VCS,Commercial Consumption,N3020TX2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Texas (MMcf),12629.0,MMCF
2015,04,SWI,USA-WI,EPG0,Natural Gas,VCS,Commercial Consumption,N3020WI2,Natural Gas Deliveries to Commercial Consumers (Including Vehicle Fuel through 1996) in Wisconsin (MMcf),6601.0,MMCF
2015,04,SIL,USA-IL,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SIL_2,Illinois Natural Gas Vehicle Fuel Consumption (MMcf),32.0,MMCF
2015,04,SMI,USA-MI,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SMI_2,Michigan Natural Gas Vehicle Fuel Consumption (MMcf),25.0,MMCF
2015,04,SMN,MINNESOTA,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SMN_2,Minnesota Natural Gas Vehicle Fuel Consumption (MMcf),6.0,MMCF
2015,04,SSD,USA-SD,EPG0,Natural Gas,VDV,Vehicle Fuel Consumption,NA1570_SSD_2,South Dakota Natural Gas Vehicle Fuel Consumption (MMcf),0.0,MMCF
2015,04,SCO,COLORADO,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045CO2,Colorado Natural Gas Deliveries to Electric Power Consumers (MMcf),5839.0,MMCF
2015,04,SLA,USA-LA,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045LA2,Louisiana Natural Gas Deliveries to Electric Power Consumers (MMcf),24985.0,MMCF
2015,04,SGA,USA-GA,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045GA2,Georgia Natural Gas Deliveries to Electric Power Consumers (MMcf),22113.0,MMCF
2015,04,SAL,USA-AL,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045AL2,Alabama Natural Gas Deliveries to Electric Power Consumers (MMcf),24902.0,MMCF
2015,04,SNY,NEW YORK,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045NY2,New York Natural Gas Deliveries to Electric Power Consumers (MMcf),28508.0,MMCF
2015,04,SAR,USA-AR,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045AR2,Arkansas Natural Gas Deliveries to Electric Power Consumers (MMcf),8840.0,MMCF
2015,04,SOR,USA-OR,EPG0,Natural Gas,VEU,Electric Power Consumption,N3045OR2,Oregon Natural Gas Deliveries to Electric Power Consumers (MMcf),7467.0,MMCF
